date,temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3,NH3,TP,DTP,PO4,Chla,TOC,TC,FC,w,Irrad,cell
2013-01-07,1.7,7.8,15.6,1.2,3,14.9,230,3.621,3.304,2.725,0.25,0.055,0.034,0.027,2.3,2.1,5,0,1.1,8.2,0.001
2013-01-14,1.7,8,15.3,0.7,3.2,1.7,298,3.659,3.399,3.154,0.067,0.021,0.011,0.004,1.7,2,0,0,1.2,7.7,0.001
2013-01-28,3.4,8.2,15.4,2.3,5.8,5.1,387,4.199,3.807,3.53,0.101,0.031,0.009,0.003,20.5,3.6,3,1,1,8.8,0.001
2013-02-04,4.6,7.7,14.5,1.3,5.7,8.6,381,4.67,3.996,3.393,0.257,0.05,0.017,0.003,20.7,3.4,153,41,1.5,5,0.001
2013-02-12,2.5,7.7,14.9,1.8,4.5,5.4,344,4.214,3.922,3.136,0.254,0.045,0.015,0.003,21.1,3.1,4,1,0.8,0.5,0.001
2013-02-18,3.6,8.1,15.9,2.6,5.4,10,316,3.905,3.309,2.975,0.073,0.041,0.015,0,43.6,3.4,2,0,0.5,0.4,0.001
2013-02-25,7.3,8.4,15,2.3,5,6.9,282,3.47,2.99,2.68,0.06,0.033,0.011,0,29.8,3.1,1,0,1.2,8.8,0.001
2013-03-04,6.9,8.6,16.4,3.7,6.4,11.2,311,4.111,3.477,3.031,0.036,0.048,0.011,0,57.1,4.2,1,0,1.4,8.8,0.001
2013-03-11,9.1,8.7,15.7,3.6,8.7,25.1,411,4.939,3.871,3.708,0.085,0.066,0.014,0,67.1,4.5,5,0,1.2,10.8,0.001
2013-03-18,12,8.8,15.4,4.1,8.9,16.9,373,4.126,3.559,3.237,0.019,0.058,0.012,0,96.2,4.7,73,7,1.8,7.7,0.001
2013-03-25,11.9,8.6,13.6,4.4,8.3,18.9,293,4.122,3.575,3.157,0.032,0.077,0.017,0.003,76.2,4.3,34,3,1.6,11.3,68
2013-04-01,12.6,9,13.5,3.6,7.4,21,304,3.617,3.112,2.931,0.029,0.078,0.024,0,58.1,4.2,3,0,1.1,8.6,0.001
2013-04-08,14.6,8.8,13.2,3.5,7.3,13.6,361,3.857,3.237,3.09,0.021,0.062,0.015,0,50.4,4,29,2,1.6,10.9,0.001
2013-04-15,15.2,8.2,12.5,3.3,5.5,7,324,3.357,3,2.46,0.046,0.043,0.013,0.003,26.7,3.4,6,1,1.5,6.1,0.001
2013-04-22,15.8,8.2,11,2.1,5.6,3,330,3.259,2.988,2.628,0.059,0.045,0.02,0,12.8,3.5,10,2,1.6,11.6,160
2013-04-29,15.1,8.3,11.5,3.4,6.5,28.2,333,3.534,3.101,2.52,0.033,0.081,0.018,0,29.6,3.5,115,5,1.8,0,288
2013-05-06,20.1,8.7,11,3.8,6.2,8.6,339,3.707,3.025,2.538,0.041,0.08,0.025,0.003,18.4,3.8,17,0,1.3,12.1,0.001
2013-05-13,24.5,8.6,10,2.6,5.3,4.4,345,3.111,2.971,2.358,0.036,0.051,0.018,0.003,8.6,3.7,7,0,1.5,11.8,0.001
2013-05-20,23,8.5,9.6,1.5,4.9,7.2,364,3.594,3.063,2.397,0.08,0.052,0.027,0.01,2.8,3.7,13,1,1.9,11.4,0.001
2013-05-27,23.2,8.4,9.1,2.4,6.8,9.2,383,3.135,2.816,2.27,0.024,0.043,0.017,0,16,4,13,2,1,0,44
2013-06-03,24.5,7.7,8.5,1,5,3.2,287,2.655,2.447,1.766,0.251,0.046,0.028,0.008,8.9,3.3,22,7,1.1,12.2,0.001
2013-06-10,25.3,8,8,1.9,4.9,4.6,310,2.239,2.076,1.676,0.118,0.035,0.019,0.007,7.7,3.8,148,75,2,3.2,0.001
2013-06-17,27.2,8.2,9.3,2.5,6.3,4.8,308,2.521,1.936,1.549,0.042,0.048,0.019,0,20.3,3.8,10,3,1.6,10.8,68
2013-06-24,25.4,7.5,8.5,3.2,6.5,19.6,197,2.48,2.182,1.645,0.204,0.1,0.051,0.036,13,4.3,183,96,1.1,6.9,0.001
2013-07-01,27.5,7.9,8.6,2.2,7.7,15,206,2.594,2.161,1.898,0.071,0.108,0.064,0.04,11.7,4.5,7,4,1.4,5.8,0.001
2013-07-08,26.2,7.6,7.5,2.3,7.5,47.8,202,3.263,2.969,2.28,0.221,0.163,0.105,0.082,9,4.8,1005,365,3.4,4.3,0.001
2013-07-15,29.3,8.8,9.3,4.4,7.6,9.4,203,3.16,2.674,1.805,0.056,0.137,0.052,0.034,35.5,4.9,14,7,1.9,5.4,336
2013-07-22,29.7,8.9,9.7,2.6,8,18.4,220,2.575,2.283,1.738,0.03,0.087,0.023,0.007,52.1,5,32,9,1.9,5.8,2024
2013-07-29,30.1,8.6,9.5,3.2,9.1,17.4,247,2.823,2.327,1.857,0.02,0.103,0.033,0.018,46.4,5.7,29,21,1.5,2.5,18672
2013-08-05,29.4,7.5,8.4,2.5,7.5,26.6,212,2.396,2.095,1.578,0.058,0.115,0.038,0.027,33.2,4.7,123,69,1.5,6.3,17352
2013-08-12,32.2,9.1,10.9,3.7,7.6,8.6,248,2.403,1.951,1.377,0.051,0.082,0.022,0.003,35.8,4.9,2,0,1.1,11.2,8368
